Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1510143360,29.642,4.417,28.307,4.417,33.148,10.521
1510143420,28.642,3.417,27.307,3.417,36.055,14.437
1510143480,27.642,2.417,26.307,2.417,35.055,13.437
1510143540,34.055,6.807,32.357,6.807,34.055,12.437
1510143600,33.055,5.807,31.357,5.807,33.055,11.437
1510143660,32.055,4.807,30.357,4.807,32.055,10.437
1510143720,31.055,3.807,29.357,3.807,36.396,14.646
1510143780,30.055,2.807,28.357,2.807,35.396,13.646
1510143840,29.055,1.807,27.357,1.807,34.396,12.646
1510143900,28.055,3.482,33.407,3.482,33.396,11.646
1510143960,27.055,2.482,32.407,2.482,32.396,10.646
1510144020,31.396,6.577,31.407,6.577,32.884,11.386
1510144080,30.396,5.577,30.407,5.577,36.949,13.747
1510144140,29.396,4.577,29.407,4.577,35.949,12.747
1510144200,28.396,3.577,28.407,3.577,34.949,11.747
